,0
1007,the necks
1008,noveller
1009,sallie ford
1010,king woman
1011,young marco
1012,meatbodies
1013,paul white [ft. danny brown]
1014,maggie rogers
1015,craig taborn
1016,lowly
1017,ryan adams
1018,hand habits
1019,quelle chris
1020,mind over mirrors
1021,lupe fiasco
1022,the orwells
1023,fire-toolz
1024,ornette coleman
1025,the other people place
1026,jesca hoop
1027,jim orourke
1028,le car
1029,stef chura
1030,communions
1031,differ-ent
1032,surfer blood
1033,palberta
1034,trevor de brauw
1035,pillorian
1036,big sean
1037,elbow
1038,matt martians
1039,emptyset
1040,syd
1041,the menzingers
1042,teen daze
1043,sinkane
1044,carsten jost
1045,porcelain raft
1046,black joe lewis & the honeybears
1047,matthew shipp trio
1048,ramzi
1049,julie byrne
1050,mega bog
1051,tobin sprout
1052,oso oso
1053,"m. lamar, hunter hunt-hendrix"
1054,iron reagan
1055,"neill von tally, the last artful, dodgr"
1056,sampha
1057,allison crutchfield
1058,homeshake
1059,k. leimer
1060,sleater-kinney
1061,strawberry switchblade
1062,rose elinor dougall
1063,banana
1064,urochromes
1065,cuddle magic
1066,age coin
1067,migos
1068,wiley
1069,los lichis
1070,landlady
1071,kehlani
1072,cep
1073,max richter
1074,egyptrixx
1075,pet shop boys
1076,tomorrow's people
1077,delicate steve
1078,jansport j
1079,fufanu
1080,"ariel pink, weyes blood"
1081,pinegrove
1082,p.o.s
1083,jefe
1084,cloud nothings
1085,mark eitzel
1086,vitalic
1087,buscabulla
1088,kodie shane
1089,sinai vessel
1090,cherry glazerr
1091,japandroids
1092,matthew dear
1093,of montreal
1094,trouble
1095,richard pinhas
1096,trey songz
1097,kreator
1098,bell biv devoe
1099,phil ochs
1100,austra
1101,stefflon don
1102,naaahhh
1103,"shackleton, vengeance tenfold"
1104,tornado wallace
1105,gabriel garzn-montano
1106,mr. tophat
1107,bash & pop
1108,botany
1109,the flaming lips
1110,"kid koala, emiliana torrini"
1111,shintaro sakamoto
1112,the proper ornaments
1113,joan of arc
1114,fred thomas
1115,tim cohen
1116,wharfer
1117,foxygen
1118,dear nora
1119,uniform
1120,half japanese
1121,x-ray spex
1122,funkadelic
1123,bonobo
1124,michael chapman
1125,sepultura
1126,william basinski
1127,tory lanez
1128,"suicideyear, outthepound"
1129,the xx
1130,"flo morrissey, matthew e. white"
1131,afi
1132,a winged victory for the sullen
1133,9t antiope
1134,black anvil
1135,kool a.d.
1136,superfcie
1137,"anthony braxton, miya masaoka"
1138,t.i.
1139,chavez
1140,code orange
1141,massive attack
1142,uranium club
1143,"kleenex, liliput"
1144,taso
1145,little simz
1146,yotam avni
1147,the lox
1148,harry bertoia
1149,run the jewels
1150,steven warwick
1151,yasiin bey
1152,"smoke dza, pete rock"
1153,senyawa
1154,jamire williams
1155,the-dream
1156,worm ouroboros
1157,elder ones
1158,the microphones
1159,kacey musgraves
1160,rashad becker
1161,ray charles
1162,ab-soul
1163,pantera
1164,mica levi
1165,kid cudi
1166,sammus
1167,hodgy
1168,jeff parker
1169,a-trak
1170,jess williamson
1171,kevin abstract
1172,adr
1173,deadmau5
1174,jessy lanza
1175,peter broderick
1176,post malone
1177,"ricardo villalobos, umho"
1178,peder mannerfelt
1179,j. cole
1180,pink floyd
1181,gaye su akyol
1182,jeff buckley
1183,saba
1184,simian mobile disco
1185,the orchestra of syrian musicians
1186,blessed initiative
1187,nick hook
1188,kjartan sveinsson
1189,"gucci mane, lil uzi vert"
1190,young male
1191,alex izenberg
1192,childish gambino
1193,fetty wap
1194,miranda lambert
1195,denitia and sene
1196,john legend
1197,"yoko ono, john lennon"
1198,coldcut
1199,"joan as police woman, benjamin lazar davis"
1200,sun ra
1201,dungen
1202,"mica levi, oliver coates"
1203,jay daniel
1204,bruno mars
1205,keita sano
1206,tredici bacci
1207,burial
1208,yg
1209,you blew it!
1210,suzanne kraft
1211,the weeknd
1212,monster rally
1213,"steve reich, terry riley"
1214,justice
1215,demdike stare
1216,bully fae
1217,rainbow arabia
1218,kate bush
1219,e-40
1220,pavo pavo
1221,via app
1222,ice cube
1223,dawn richard
1224,"oneida, rhys chatham"
1225,vicky chow
1226,"gucci mane, future"
1227,gillian welch
1228,jeff rosenstock
1229,kristin hersh
1230,mike watt
1231,daniel bachman
1232,autechre
1233,body/head
1234,his name is alive
1235,radian
