,0
655,"Jack Dejohnette, Ravi Coltrane, Matthew Garrison"
656,Big Black Delta
657,Egyptian Lover
658,Holy Ghost!
659,Lush
660,Dlek
661,"Ensemble Dal Niente, Deerhoof"
662,Susanna
663,Beyonc
664,Antwon
665,Bill Evans
666,"Dj Quik, Problem"
667,"Konono N1, Batida"
668,Lawrence
669,Carlos Nio & Friends
670,Sturgill Simpson
671,Toyomu
672,Sam Beam & Jesca Hoop
673,Mr. Lif
674,Colin Stetson
675,"Tyler Friedman, Samuel Rohrer"
676,Niki And The Dove
677,Into It. Over It.
678,Frightened Rabbit
679,"Trd, Grs Och Stenar"
680,Teen Suicide
681,"Henry Threadgill, Ensemble Double-Up"
682,Dvsn
683,The Last Shadow Puppets
684,Autolux
685,Leon Vynehall
686,Tombs
687,Com Truise
688,Black Milk & Nat Turner
689,Nisennenmondai
690,Black Mountain
691,The Monochrome Set
692,Zayn
693,Moderat
694,Brad Fiedel
695,Anthony Braxton
696,Studio Ost
697,Babyfather
698,Masami Akita & Eiko Ishibashi
699,Father
700,Margo Price
701,"Vijay Iyer, Wadada Leo Smith"
702,Charli Xcx
703,Starchild & The New Romantic
704,Lucius
705,"The Body, Full Of Hell"
706,"Boris, Merzbow"
707,Open Mike Eagle & Paul White
708,"Bonnie Prince Billy, Bitchin Bajas"
709,Gadget
710,Hlos
711,Chris Forsyth And The Solar Motel Band
712,The Feelies
713,Fake Boyfriend
714,Immix Ensemble & Vessel
715,The Range
716,Lpsley
717,M. Ward
718,The Big Pink
719,"Lil Wayne, 2 Chainz"
720,Polia
721,Mikael Seifu
722,Soulwax
723,Oranssi Pazuzu
724,Loretta Lynn
725,Especia
726,Na
727,"Glenn Kotche, So Percussion"
728,"Macklemore, Ryan Lewis"
729,John Cale
730,Amthst
731,"James Holden, Luke Abbott"
732,Yo Gotti
733,Santigold
734,Cavern Of Anti-Matter
735,Rangda
736,"Jesu, Sun Kil Moon"
737,"Anna Homler, Steve Moshier"
738,Jack Garratt
739,Mavis Staples
740,Moodymann
741,Why Khaliq
742,Rokia Traor
743,Daniel Wohl
744,The Skiffle Players
745,Boosie Badazz
746,Knxwledge
747,Sicko Mobb
748,Foxes
749,Milk N Cookies
750,"Vic Spencer, Chris Crack"
751,Massive Attack
752,Kevin Gates
753,King
754,Lucinda Williams
755,Money
756,Lee Hazlewood
757,This Heat
758,Wet
759,Majical Cloudz
760,"Snoop Dogg, Daz Dillinger"
761,Little Simz
762,Future
763,The High Llamas
764,Number Girl
765,Suede
766,Dust
767,Lucrecia Dalt
768,Albert Ayler
769,Mila J
770,Timbaland
771,Kelela
772,Lycus
773,Lil Bibby
774,7 Year Bitch
775,Busta Rhymes
776,Cozz
777,Paper Days
778,Mood Ii Swing
779,Craw
780,Mikael Tariverdiev
781,Odd Nosdam
782,Kyle Hall
783,Kid Cudi
784,Gag
785,The Soft Pink Truth
786,Ennio Morricone
787,"Aesop Rock, Homeboy Sandman"
788,Pusha T
789,Harmonia
790,Wiki
791,G-Eazy
792,Gum
793,Stephan Mathieu
794,Jennylee
795,The Velvet Underground
796,Laddio Bolocko
797,Cass Mccombs
798,Lubomyr Melnyk
799,Ilovemakonnen
800,Zora Jones
801,Pope Francis
802,Sunn O)))
803,Sophie
804,The Blue Jean Committee
805,Gloria Ann Taylor
806,Danny L Harle
807,Erykah Badu
808,"Muja Messiah, I Self Devine"
809,Punch Brothers
810,Doug Hream Blunt
811,Parquet Courts
812,John Coltrane
813,"The Body, Krieg"
814,Andr Bratten
815,Dragged Into Sunlight / Gnaw Their Tongues
816,Kneebody And Daedelus
817,Natalie Prass
818,En
819,Enya
820,Andrew Hung
821,"Shye Ben Tzur, Jonny Greenwood, The Rajasthan Express"
822,Kurt Stenzel
823,F(X)
824,Nef The Pharaoh
825,Justin Bieber
826,Alessia Cara
827,The Pains Of Being Pure At Heart
828,Jeff Lynnes Elo
829,Tim Hecker
830,Cool Uncle
831,A Tribe Called Quest
832,"Glenn Kotche, John Luther Adams"
833,"Talib Kweli, 9Th Wonder"
834,Puff Daddy
835,Frankie Cosmos
836,Trust Fund
837,"Connan Mockasin, Devont Hynes"
838,Special Request
839,Amy Winehouse
840,Joshua Abrams
841,Fuzz
842,"French Montana, Fetty Wap"
843,Boots
844,Tropic Of Cancer
845,"Hieroglyphic Being, J.I.T.U. Ahn-Sahm-Buhl"
846,Yautja
847,"Dave Gahan, Soulsavers"
848,"Madlib, M.E.D., Blu"
849,Vhl
850,Shining
851,Ty Dolla $Ign
852,Franoise Hardy
853,Dj Firmeza
854,Joanna Newsom
855,Weyes Blood
856,Yacht
857,Zomby
858,Windhand
859,St Germain
860,Milo
861,Doughboyz Cashout
862,Mga
863,Alex G
864,The Decemberists
865,Donato Dozzy
866,Christian Scott Atunde Adjuah
867,Co La
868,"Ryan Hemsworth, Lucas"
869,Jay Rock
870,Sarah Kirkland Snider
871,Anderson .Paak
872,Chvrches
873,Juicy J
874,Toro Y Moi
875,T.I.
876,"Fennesz, King Midas Sound"
877,"Drake, Future"
878,New Order
879,Kurt Vile
880,Donmonique
881,The Arcs
882,Dit
883,The Roadside Graves
884,Dope Body
885,Blackalicious
886,"Merzbow, Jim Orourke, Akira Sakata, Chikamorachi"
887,Venetian Snares
888,Travis Scott
889,Pole
890,Dj Richard
891,Fidlar
892,The Isley Brothers
893,Rick Ross
894,Mueller & Roedelius
895,Lower
896,Helen
897,Savant
898,Empress Of
899,The Libertines
900,Miley Cyrus
901,Method Man
902,Destroyer
903,Daniel.T.
904,Myrkur
905,"Bitchin Bajas, Natural Information Society"
906,Drinks
907,Ghost
908,Glassine
909,Monk Parker
910,Jackson C. Frank
